IMU_Q0,IMU_Q1,IMU_Q2,IMU_Q3,Opt_Q0,Opt_Q1,Opt_Q2,Opt_Q3
-0.723112,0.13488,0.318018,0.598149,0.918477,-0.153115,-0.283753,-0.228998
-0.723154,0.140467,0.326987,0.591944,0.916064,-0.165188,-0.28802,-0.224909
-0.722055,0.146729,0.337162,0.586028,0.912612,-0.17852,-0.295083,-0.219538
-0.720401,0.155921,0.351598,0.57714,0.909382,-0.190988,-0.301146,-0.214148
-0.719104,0.160601,0.358399,0.573277,0.902561,-0.207309,-0.316595,-0.205365
-0.716848,0.168783,0.370152,0.56624,0.898483,-0.217556,-0.324065,-0.200948
-0.714699,0.176731,0.381808,0.558743,0.893715,-0.228097,-0.332199,-0.197202
-0.713584,0.180624,0.388219,0.554489,0.889417,-0.237463,-0.339483,-0.193132
-0.711001,0.188403,0.401679,0.54556,0.884343,-0.247023,-0.348277,-0.188734
-0.709104,0.192996,0.410911,0.539516,0.879494,-0.256609,-0.356191,-0.183766
-0.707033,0.196021,0.419536,0.534481,0.874745,-0.264284,-0.364237,-0.179743
-0.702582,0.202658,0.435798,0.524774,0.869121,-0.272585,-0.373235,-0.176129
-0.698478,0.207473,0.448788,0.51737,0.865846,-0.28092,-0.378815,-0.167017
-0.696065,0.209812,0.456183,0.513195,0.860339,-0.289247,-0.387633,-0.160915
-0.693237,0.212507,0.465494,0.507523,0.853802,-0.296562,-0.398076,-0.156872
-0.689003,0.216097,0.478701,0.499422,0.846691,-0.303164,-0.409554,-0.153204
-0.686716,0.217628,0.485599,0.49523,0.840322,-0.30926,-0.419964,-0.147806
-0.682996,0.219473,0.495908,0.489309,0.828383,-0.305235,-0.442313,-0.158026
-0.678113,0.221574,0.508482,0.482197,0.818151,-0.304016,-0.460262,-0.162361
-0.674863,0.221665,0.515851,0.478876,0.810429,-0.308808,-0.472053,-0.158141
-0.668276,0.221274,0.530481,0.472266,0.804753,-0.307957,-0.483026,-0.15563
-0.662804,0.220515,0.542401,0.46676,0.797941,-0.309664,-0.493588,-0.154174
-0.658572,0.218334,0.551528,0.463066,0.789867,-0.312731,-0.504945,-0.152774
-0.650444,0.214792,0.56835,0.455812,0.781884,-0.314984,-0.516415,-0.150858
-0.645592,0.212623,0.57797,0.451612,0.774501,-0.314542,-0.527671,-0.150915
-0.639605,0.209956,0.589137,0.446925,0.767044,-0.315606,-0.538344,-0.149073
-0.631153,0.206417,0.604198,0.440433,0.75827,-0.317666,-0.550253,-0.14607
-0.627024,0.204335,0.610908,0.438041,0.751592,-0.31668,-0.559499,-0.147596
-0.619162,0.199949,0.623181,0.433941,0.745192,-0.317255,-0.567726,-0.147394
-0.611593,0.195584,0.634642,0.430035,0.737929,-0.315336,-0.578159,-0.147501
-0.606996,0.192224,0.641002,0.428628,0.73255,-0.313328,-0.585589,-0.149271
-0.596937,0.185429,0.654615,0.42516,0.726414,-0.310606,-0.594225,-0.150804
-0.587417,0.179063,0.666784,0.422229,0.719969,-0.306476,-0.604003,-0.151323
-0.582078,0.175402,0.67315,0.421056,0.713157,-0.303852,-0.613453,-0.150852
-0.577029,0.171683,0.678945,0.420235,0.714101,-0.289708,-0.617861,-0.156134
-0.568589,0.164874,0.688213,0.419388,0.709484,-0.290313,-0.622906,-0.156009
-0.563276,0.159956,0.693747,0.419345,0.706089,-0.287182,-0.628579,-0.154443
-0.55809,0.153966,0.69886,0.42003,0.697216,-0.287725,-0.63974,-0.147775
-0.549554,0.144543,0.707254,0.420583,0.689906,-0.283344,-0.650117,-0.145238
-0.545628,0.139271,0.711255,0.420725,0.682795,-0.279959,-0.659018,-0.145291
-0.540361,0.130943,0.716874,0.420661,0.677298,-0.275331,-0.666754,-0.144569
-0.53425,0.121745,0.723172,0.420449,0.672228,-0.271589,-0.673358,-0.144702
-0.531619,0.116969,0.726116,0.420065,0.666853,-0.267522,-0.680132,-0.145463
-0.525868,0.106981,0.732311,0.41921,0.661057,-0.263103,-0.687269,-0.146432
-0.521324,0.099189,0.737081,0.418442,0.655372,-0.258468,-0.69427,-0.147209
-0.517934,0.093479,0.740599,0.417755,0.650383,-0.253048,-0.700801,-0.147808
-0.51144,0.083441,0.746853,0.416747,0.64399,-0.247387,-0.708321,-0.149525
-0.50783,0.078441,0.749986,0.416505,0.635918,-0.243547,-0.716661,-0.150632
-0.502768,0.072092,0.753929,0.416676,0.637732,-0.218729,-0.72209,-0.155052
-0.49414,0.061075,0.760521,0.416777,0.634183,-0.206713,-0.72821,-0.157455
-0.487313,0.052688,0.765362,0.417099,0.622838,-0.201194,-0.738382,-0.162436
-0.482963,0.047339,0.768323,0.417357,0.599442,-0.200774,-0.754481,-0.176401
-0.475952,0.038514,0.77289,0.417884,0.593066,-0.192104,-0.761482,-0.177521
-0.467515,0.027771,0.778071,0.418645,0.585437,-0.18436,-0.768731,-0.179798
-0.46316,0.021393,0.780455,0.419422,0.578626,-0.176808,-0.775295,-0.181244
-0.454965,0.009253,0.784561,0.421171,0.593837,-0.159644,-0.770626,-0.167354
-0.447228,-0.001804,0.788179,0.422797,0.575783,-0.158035,-0.782407,-0.177026
-0.442138,-0.008794,0.790339,0.424029,0.556364,-0.156657,-0.79418,-0.187607
-0.431995,-0.022386,0.794653,0.425916,0.55108,-0.147502,-0.799499,-0.188029
-0.425698,-0.030778,0.797209,0.426957,0.547898,-0.137074,-0.802802,-0.191121
-0.419823,-0.038669,0.79948,0.427885,0.54213,-0.13037,-0.807144,-0.193951
-0.410302,-0.051236,0.802926,0.429345,0.536458,-0.121186,-0.81218,-0.194656
-0.405714,-0.057341,0.804345,0.430277,0.530146,-0.112987,-0.817036,-0.19655
-0.398664,-0.067787,0.806263,0.431755,0.525782,-0.105736,-0.821404,-0.194083
-0.391231,-0.079321,0.808116,0.433122,0.520776,-0.0995,-0.825074,-0.195308
-0.388105,-0.085771,0.808509,0.433971,0.514797,-0.093555,-0.828952,-0.197664
-0.381379,-0.098544,0.809216,0.4359,0.509023,-0.08925,-0.832795,-0.198449
-0.376439,-0.107421,0.809556,0.437462,0.49912,-0.086768,-0.837895,-0.203182
-0.372392,-0.114105,0.809582,0.439182,0.504427,-0.072402,-0.836855,-0.199965
-0.364191,-0.127308,0.809693,0.442216,0.500543,-0.06445,-0.839944,-0.19949
-0.358006,-0.137265,0.809384,0.444845,0.480813,-0.071613,-0.851168,-0.198
-0.355055,-0.142565,0.808933,0.446361,0.477125,-0.072748,-0.856278,-0.183977
-0.351519,-0.149217,0.808574,0.447635,0.476969,-0.051867,-0.854893,-0.197406
-0.345807,-0.159056,0.808303,0.449183,0.473012,-0.037479,-0.856016,-0.205164
-0.342134,-0.165027,0.808425,0.449621,0.469492,-0.031666,-0.858222,-0.20501
-0.336512,-0.173823,0.808802,0.449871,0.46664,-0.022485,-0.859552,-0.207149
-0.329458,-0.18457,0.809019,0.450422,0.464368,-0.012213,-0.860172,-0.210516
