Martin	// User ID
30-5-2023	// Evaluation date
MP_H_R3	30-5-2023	11:50:42:011	// Source file name and timestamp
100.000	// Sampling rate
34.321	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
168	0.218109	-0.536616	0.239610	0.779140	0.583683	0.474164	0.616443	-0.233410	-0.767183	0.370033	-0.486312	0.194952	
169	0.219980	-0.528423	0.242222	0.783394	0.581233	0.473099	0.620463	-0.231022	-0.767478	0.369989	-0.487909	0.189818	
170	0.222568	-0.514353	0.246335	0.790710	0.577595	0.471894	0.624987	-0.230413	-0.766445	0.370205	-0.491219	0.184974	
171	0.224882	-0.508825	0.247650	0.793218	0.573738	0.470652	0.630052	-0.228792	-0.765851	0.370158	-0.494348	0.179096	
172	0.229611	-0.502022	0.248987	0.795775	0.568911	0.469839	0.635144	-0.228437	-0.764417	0.369767	-0.498746	0.173760	
173	0.234636	-0.493962	0.250686	0.798814	0.563776	0.468979	0.640739	-0.227308	-0.763255	0.369140	-0.503104	0.167520	
174	0.237978	-0.492488	0.250817	0.798694	0.560338	0.467008	0.646395	-0.223826	-0.763453	0.369332	-0.505091	0.160050	
175	0.245113	-0.488828	0.251340	0.798621	0.555849	0.465819	0.651782	-0.221867	-0.762751	0.368892	-0.508480	0.153550	
176	0.253677	-0.485305	0.251700	0.797981	0.552892	0.465062	0.656298	-0.217486	-0.763876	0.367830	-0.509549	0.146814	
177	0.259865	-0.484249	0.251487	0.796698	0.549434	0.463205	0.661556	-0.214260	-0.763879	0.367877	-0.511489	0.139765	
178	0.263829	-0.482823	0.251468	0.796266	0.546344	0.462042	0.666243	-0.210108	-0.764662	0.367141	-0.512683	0.132870	
179	0.268707	-0.480863	0.251571	0.795788	0.543665	0.460627	0.670950	-0.205129	-0.765887	0.366500	-0.513166	0.125524	
180	0.276644	-0.477270	0.252089	0.795068	0.540344	0.459028	0.676082	-0.200588	-0.766594	0.365933	-0.514326	0.117883	
181	0.285888	-0.472092	0.253309	0.794501	0.536486	0.457828	0.681567	-0.195047	-0.767721	0.364582	-0.515485	0.109358	
182	0.292604	-0.467544	0.254843	0.794255	0.533003	0.457106	0.686074	-0.190431	-0.768630	0.363108	-0.516621	0.102288	
183	0.296534	-0.464612	0.255812	0.794207	0.529426	0.456332	0.690721	-0.185402	-0.769665	0.361514	-0.517620	0.094828	
184	0.302473	-0.459888	0.257208	0.794266	0.525181	0.455346	0.695608	-0.181588	-0.769777	0.360209	-0.519626	0.087639	
185	0.309699	-0.453978	0.259021	0.794292	0.520710	0.454784	0.700066	-0.178717	-0.769463	0.358692	-0.522159	0.081344	
186	0.313594	-0.450728	0.260226	0.794220	0.516140	0.453644	0.704708	-0.176615	-0.768522	0.357830	-0.525053	0.075169	
187	0.320934	-0.444840	0.262694	0.793795	0.511718	0.452991	0.708737	-0.175029	-0.767523	0.356701	-0.528003	0.069900	
188	0.327648	-0.439605	0.264950	0.793219	0.506908	0.452983	0.712574	-0.173459	-0.766577	0.354881	-0.531239	0.064836	
189	0.331760	-0.436920	0.266272	0.792550	0.501143	0.452979	0.716666	-0.173362	-0.764558	0.353154	-0.535831	0.060162	
190	0.339867	-0.431571	0.268557	0.791274	0.493992	0.452131	0.721711	-0.175164	-0.760802	0.352227	-0.542275	0.055258	
191	0.344888	-0.428716	0.269625	0.790289	0.486485	0.452619	0.726058	-0.176940	-0.757346	0.349987	-0.548932	0.051090	
192	0.349830	-0.427254	0.269939	0.788800	0.479505	0.452655	0.730403	-0.178015	-0.754231	0.348069	-0.554814	0.046532	
193	0.359292	-0.424388	0.270635	0.785851	0.472221	0.452942	0.734401	-0.180293	-0.750471	0.346129	-0.561381	0.042887	
