Martin	// User ID
30-5-2023	// Evaluation date
MP_H_R5	30-5-2023	11:55:06:943	// Source file name and timestamp
100.000	// Sampling rate
33.156	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
146	0.470807	-0.566255	0.187475	0.650038	0.307328	0.450791	0.749196	-0.375557	-0.576018	0.330614	-0.742236	0.089345	
147	0.475166	-0.569879	0.180113	0.645767	0.302293	0.447425	0.749491	-0.383006	-0.568158	0.332663	-0.747215	0.090557	
148	0.478729	-0.572480	0.173914	0.642525	0.298790	0.445472	0.749161	-0.388636	-0.562539	0.333804	-0.750758	0.092127	
149	0.481200	-0.573633	0.169006	0.640959	0.293917	0.443585	0.748858	-0.395040	-0.555817	0.334413	-0.755292	0.093644	
150	0.486148	-0.576958	0.159063	0.636772	0.290675	0.441589	0.750016	-0.397470	-0.552141	0.335138	-0.757807	0.092472	
151	0.489994	-0.580659	0.150113	0.632619	0.287061	0.439577	0.752137	-0.398319	-0.549202	0.335456	-0.760141	0.089619	
152	0.491661	-0.583422	0.145052	0.629959	0.284109	0.437481	0.754616	-0.398053	-0.547194	0.335936	-0.761782	0.086101	
153	0.493127	-0.586723	0.140408	0.626792	0.282395	0.436061	0.757248	-0.395827	-0.547166	0.336047	-0.762204	0.082022	
154	0.495627	-0.591587	0.133436	0.621750	0.281342	0.433720	0.760502	-0.392899	-0.547523	0.337093	-0.762002	0.077072	
155	0.497323	-0.593731	0.130167	0.619039	0.281841	0.432488	0.763060	-0.388922	-0.549630	0.337683	-0.760634	0.072893	
156	0.500056	-0.594176	0.128136	0.616831	0.281691	0.431038	0.765669	-0.385497	-0.551014	0.338259	-0.759767	0.068690	
157	0.503976	-0.594465	0.125170	0.613964	0.280210	0.428752	0.768293	-0.383902	-0.550382	0.339267	-0.760119	0.064778	
158	0.506044	-0.592575	0.125444	0.614035	0.278478	0.426409	0.770633	-0.383080	-0.549154	0.340340	-0.760809	0.061386	
159	0.509227	-0.588531	0.126770	0.615020	0.276209	0.424041	0.772746	-0.383096	-0.547166	0.341340	-0.762026	0.058421	
160	0.512080	-0.585081	0.127702	0.615748	0.272440	0.420842	0.774977	-0.384810	-0.543152	0.342664	-0.764514	0.055541	
161	0.513297	-0.582652	0.128690	0.616831	0.269123	0.418837	0.776260	-0.386742	-0.539666	0.343216	-0.766845	0.053957	
162	0.516217	-0.578529	0.129515	0.618102	0.265365	0.417336	0.776713	-0.390037	-0.535355	0.343380	-0.769806	0.053701	
163	0.518426	-0.576465	0.129256	0.618235	0.261505	0.415983	0.776736	-0.394024	-0.530636	0.343480	-0.772992	0.054134	
164	0.520932	-0.575873	0.127385	0.617067	0.258027	0.415050	0.776275	-0.398186	-0.526146	0.343413	-0.776006	0.055258	
165	0.525021	-0.574470	0.124708	0.615456	0.254680	0.413501	0.776667	-0.401177	-0.522158	0.343706	-0.778584	0.054993	
166	0.527079	-0.574676	0.122811	0.613884	0.251039	0.411482	0.777328	-0.404257	-0.517784	0.344259	-0.781301	0.054342	
167	0.529825	-0.576254	0.119570	0.610672	0.249874	0.409507	0.778469	-0.404788	-0.516143	0.345456	-0.781963	0.052831	
168	0.533295	-0.578895	0.115144	0.605986	0.248626	0.406492	0.780552	-0.404582	-0.514493	0.347347	-0.782404	0.049910	
169	0.534957	-0.582189	0.111801	0.601978	0.248894	0.403590	0.783307	-0.401992	-0.515027	0.349424	-0.781381	0.045770	
170	0.536018	-0.583951	0.109545	0.599738	0.250486	0.401759	0.786001	-0.397553	-0.517699	0.350893	-0.779195	0.041436	
171	0.538036	-0.585617	0.105932	0.596949	0.251955	0.399442	0.789192	-0.392607	-0.520398	0.352603	-0.776879	0.036279	
172	0.540124	-0.586867	0.102324	0.594460	0.254134	0.398413	0.792212	-0.386113	-0.524820	0.353286	-0.773816	0.031016	
173	0.541299	-0.585548	0.101209	0.594883	0.254664	0.397152	0.795558	-0.380137	-0.528006	0.353486	-0.771767	0.025152	
174	0.543484	-0.582436	0.099644	0.596209	0.255550	0.395971	0.798594	-0.374366	-0.531264	0.353795	-0.769544	0.019762	
175	0.545135	-0.579485	0.099032	0.597677	0.256568	0.393298	0.801532	-0.370183	-0.533088	0.355646	-0.767536	0.014912	
176	0.546234	-0.575387	0.100611	0.600363	0.257307	0.390648	0.805075	-0.364748	-0.535467	0.357101	-0.765295	0.008840	
177	0.548485	-0.568715	0.102732	0.604296	0.256319	0.386034	0.809041	-0.361567	-0.534923	0.359774	-0.764470	0.002517	
178	0.549937	-0.564702	0.104249	0.606476	0.257386	0.382425	0.812865	-0.356024	-0.537102	0.362080	-0.761842	-0.004006	
179	0.552057	-0.559518	0.106233	0.609005	0.256824	0.378482	0.816604	-0.352067	-0.537427	0.364208	-0.760539	-0.010264	
180	0.554984	-0.552662	0.108247	0.612242	0.257174	0.374975	0.820028	-0.347576	-0.538660	0.366270	-0.758572	-0.016153	
181	0.556752	-0.549359	0.108434	0.613575	0.255311	0.371442	0.823443	-0.344657	-0.537889	0.367654	-0.758304	-0.021946	
182	0.560163	-0.543153	0.108298	0.616014	0.254163	0.368563	0.826371	-0.341576	-0.537819	0.368793	-0.757636	-0.027037	
183	0.563338	-0.537247	0.108109	0.618326	0.252175	0.365676	0.829433	-0.338719	-0.537187	0.369590	-0.757485	-0.032400	
184	0.565601	-0.533584	0.107380	0.619559	0.249600	0.361520	0.832759	-0.336922	-0.535145	0.371328	-0.757822	-0.037959	
185	0.570292	-0.525829	0.106435	0.622047	0.246588	0.357166	0.836638	-0.334161	-0.533303	0.372802	-0.758031	-0.044673	
186	0.574690	-0.519039	0.105809	0.623806	0.242715	0.352109	0.840720	-0.332113	-0.530320	0.374558	-0.758813	-0.051662	
187	0.577293	-0.515676	0.105410	0.624259	0.240173	0.347718	0.844788	-0.328241	-0.529254	0.375989	-0.758315	-0.059000	
188	0.580047	-0.512696	0.104558	0.624304	0.238091	0.344105	0.848655	-0.323558	-0.529163	0.376826	-0.757363	-0.066257	
189	0.584962	-0.507681	0.102782	0.624112	0.235594	0.341251	0.852537	-0.318159	-0.529536	0.376699	-0.756462	-0.073848	
190	0.588457	-0.504266	0.101277	0.623841	0.233167	0.339910	0.855961	-0.312129	-0.530902	0.375266	-0.755487	-0.080983	
